kategori;orijinal_pdf_yolu;hedef_txt_yolu;sayfa_sayisi;karakter_sayisi
sosyal_bilimler;data\raw\sosyal_bilimler\s07.pdf;data\processed\stage1_extracted\sosyal_bilimler\s07.txt;8;21805
sosyal_bilimler;data\raw\sosyal_bilimler\s08.pdf;data\processed\stage1_extracted\sosyal_bilimler\s08.txt;14;35602
sosyal_bilimler;data\raw\sosyal_bilimler\s09.pdf;data\processed\stage1_extracted\sosyal_bilimler\s09.txt;16;42768
sosyal_bilimler;data\raw\sosyal_bilimler\s10.pdf;data\processed\stage1_extracted\sosyal_bilimler\s10.txt;26;75525
sosyal_bilimler;data\raw\sosyal_bilimler\s11.pdf;data\processed\stage1_extracted\sosyal_bilimler\s11.txt;16;56512
sosyal_bilimler;data\raw\sosyal_bilimler\s12.pdf;data\processed\stage1_extracted\sosyal_bilimler\s12.txt;32;98038
sosyal_bilimler;data\raw\sosyal_bilimler\s13.pdf;data\processed\stage1_extracted\sosyal_bilimler\s13.txt;28;64659
sosyal_bilimler;data\raw\sosyal_bilimler\s14.pdf;data\processed\stage1_extracted\sosyal_bilimler\s14.txt;19;44683
sosyal_bilimler;data\raw\sosyal_bilimler\s15.pdf;data\processed\stage1_extracted\sosyal_bilimler\s15.txt;15;54581
sosyal_bilimler;data\raw\sosyal_bilimler\s16.pdf;data\processed\stage1_extracted\sosyal_bilimler\s16.txt;10;32561
sosyal_bilimler;data\raw\sosyal_bilimler\s17.pdf;data\processed\stage1_extracted\sosyal_bilimler\s17.txt;8;29861
sosyal_bilimler;data\raw\sosyal_bilimler\s18.pdf;data\processed\stage1_extracted\sosyal_bilimler\s18.txt;20;70456
sosyal_bilimler;data\raw\sosyal_bilimler\s19.pdf;data\processed\stage1_extracted\sosyal_bilimler\s19.txt;19;48040
sosyal_bilimler;data\raw\sosyal_bilimler\s20.pdf;data\processed\stage1_extracted\sosyal_bilimler\s20.txt;10;40778
sosyal_bilimler;data\raw\sosyal_bilimler\s21.pdf;data\processed\stage1_extracted\sosyal_bilimler\s21.txt;23;60940
sosyal_bilimler;data\raw\sosyal_bilimler\s22.pdf;data\processed\stage1_extracted\sosyal_bilimler\s22.txt;7;25392
sosyal_bilimler;data\raw\sosyal_bilimler\s23.pdf;data\processed\stage1_extracted\sosyal_bilimler\s23.txt;28;74246
